year,appliances,furniture
1958,nonMIC,nonMIC
1959,nonMIC,nonMIC
1960,nonMIC,nonMIC
1961,nonMIC,nonMIC
1962,nonMIC,nonMIC
1963,nonMIC,nonMIC
1964,nonMIC,nonMIC
1965,nonMIC,nonMIC
1966,nonMIC,nonMIC
1967,nonMIC,nonMIC
1968,nonMIC,nonMIC
1969,nonMIC,nonMIC
1970,nonMIC,nonMIC
1971,nonMIC,nonMIC
1972,nonMIC,nonMIC
1973,nonMIC,nonMIC
1974,nonMIC,nonMIC
