year,appliances,furniture
1958,1.01,0.79
1959,1,0.78
1960,1,0.77
1961,1.01,0.77
1962,1.01,0.76
1963,1,0.76
1964,0.98,0.76
1965,1,0.76
1966,0.99,0.76
1967,0.99,0.78
1968,0.99,0.77
1969,0.97,0.78
1970,0.97,0.78
1971,0.97,0.77
1972,0.95,0.75
1973,0.94,0.75
1974,0.91,0.75
