year,appliances,furniture
1958,NA,NA
1959,31.3,66.6
1960,30.9,65
1961,29.1,63.4
1962,30,66.9
1963,31.7,67.8
1964,32.6,71.5
1965,35.1,77.5
1966,41,92.5
1967,40.4,98
1968,42.1,107
1969,47.3,116.8
1970,47.9,111.8
1971,45.6,115
1972,49.8,130.2
1973,57,146.6
1974,58,146.1
