year,appliances,furniture
1958,NA,NA
1959,19.94,17.3
1960,19.88,16.97
1961,19.64,17.25
1962,19.96,17.37
1963,20.39,17.39
1964,20.32,17.62
1965,21.23,17.99
1966,22.79,20.04
1967,23.11,21.52
1968,23.48,22.69
1969,25.31,24.14
1970,26.06,24.31
1971,25.5,24.95
1972,26.79,25.86
1973,29.04,27.38
1974,30.83,28.28
