year,appliances,furniture
1958,1.69,0.67
1959,1.4,0.47
1960,1.8,0.55
1961,1.42,0.57
1962,1.2,0.47
1963,0.9,0.41
1964,0.75,0.32
1965,0.73,0.23
1966,0.44,0.17
1967,0.63,0.24
1968,0.45,0.17
1969,0.37,0.14
1970,0.71,0.3
1971,0.95,0.24
1972,0.48,0.14
1973,0.36,0.13
1974,1.01,0.33
