0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
,,,,,,,,,,,,,MANUFACTURING,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Annual,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,September,October,,
,,,,,,,,,,,,,,,,Average,,,,,,,,,,,,
1951,"13,368","13,317","13,467","13,468","13,392","13,286","13,385","13,224","13,434",13.482,"13,387","13,284","13,288",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1953,70.47,70.11,70.35,71.10,70.41,70.24,70.82,70.53,70.47,70.22,70.93,70.22,70.98
1952,"13,359","13,151","13,204","13,211","13,145","13,025","12,783","12,557","13,419","13,841","13,927","13,990","14,060",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1954,70.49,70.13,70.09,69.74,69.03,69.95,70.31,69.74,69.87,70.67,70.84,72.36,73.31
1953,"14,055","13,983","14,107","14,217","14,152","14,100","14,198","14,093","14,280","14,269","14,049","13,720","13,497",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1955,75.70,73.16,73.53,73.89,73.97,75.30,74.70,75.14,75.11,76.89,77.27,78.28,78.47
1954,"12,817","13,173","13,075",12.981,"12,767","12,619","1 2 ,6 6 6","12,422","1 2 ,6 6 8","12,821","12,852","12,889","12,869",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1956,78.78,77.55,76.76,77.38,78.18,77.60,78.20,77.79,78.39,80.59,80.99,81.00,82.82
1955,"13,288","12,744","12,857","12,995","13,035","13,103","13,313","13,181","13,505","13,603","13,683","13,733","13,707",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1957,81.59,81.20,81.20,81.40,80.79,80.59,81.60,81.59,81.60,82.19,81.37,81.74,81.95
1956,"13,436","13,513","13,473","13,390","13,386","13,309","13,351","12,784","13,508","13,600","13,707","13,630","13,581",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1958,82.71,80.29,79.87,80.08,80.05,80.67,82.32,82.32,83.16,84.38,83.77,85.79,87.23
1957,"13,189","13,378",13.349,"13,319","13,196","13,132","13,210","13,060","13,314","13,297","13,200","13,015","12,795",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1959,88.26,86.58,86.58,88.04,8 8 .6 6,89.10,89.95,88.84,87.48,88.26,87.64,87.78,90.72
