0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
SIC  19,,,,,,,,,,,,,MANUFACTURING,,,,,,,,,,,,,,,
,Annual,,,,,,,,,,,,,,,Annual,,,,,,,,,,,,
Y ear,,January,February,March,April,May,June,July,August,Septembei,October,November,,,,,January,Februaiy,,,,,July,August,September,October,November,
,Average,,,,,,,,,,,,,,,Average,,,,,,,,,,,,
1974,123.4,126.3,123.8,123.9,122.9,122.6,123.6,123.4,124.3,124.1,122.7,121.6,121.4,,1958,2.48,2.43,2.42,2.43,2.43,2.46,2.48,2.48,2.52,2.53,2.54,2.53,2.55
1975,,121.1,119.9,118.8,117.4,116.9,116.2,,,,,,,,1959,2.58,2.58,2.56,2.52,2.52,2.55,2.61,2.57,2.59,2.58,2.59,2.61,2.61
,,,,,,,,,,,,,,,1960,2.66,2.62,2.64,2.63,2.62,2.62,2.65,2 .6 7,2 .6 7,2.70,2.68,2.68,2 .7 1
,,,,,,WOMEN  EMPLOYEES -   IN THOUSANDS,,,,,,,,,,,,,,,,,,,,,,
1958,,10.0,,,12.5,,,15.3,,,17.9,,,,1961,2.77,2.73,2.73,2.72,2.73,2.74,2.74,2.79,2.79,2.80,2.82,2.82,2.83
1959,23.0,20.8,21.3,22.0,22.3,22.4,22.9,23.4,23.6,24.0,24.3,24.5,24.9,,1962,2.86,2.83,2.82,2.83,2.84,2.83,2.83,2.84,2.84,2.88,2.89,2.92,2.93
1960,27.1,24.9,25.3,25.4,25.6,26.0,26.2,26.5,27.9,28.2,29.0,29.8,30.6,,1963,2.97,2.94,2.94,2.94,2.91,2.92,2.96,2.97,2.99,3.00,3.03,3.03,3.04
,,,,,,,,,,,,,,,1964,3.09,3.03,3.02,3.02,3.04,3.04,3.07,3.09,3.12,3.14,3.16,3.17,3.19
1961,32.1,31.1,31.6,31.9,32.5,32.1,31.9,31.4,31.8,31.8,32.3,33.3,33.2,,1965,3.23,3.20,3.20,3.21,3.19,3.20,3.21,3.24,3.24,3.23,3.27,3.27,3.29
1962,35.9,33.2,33.3,34.3,34.6,35.6,36.1,36.8,37.3,37.6,37.6,37.5,37.3,,1966,3.22,3.27,3.25,3.24,3.22,3.24,3.21,3.19,3.23,3.21,3.21,3.18,3.19
1963,36.0,36.7,36.4,36.1,35.0,35.4,35.5,35.6,35.8,36.3,36.4,36.4,36.3,,1967,3.19,3.19,3.16,3.16,3.14,3.15,3.15,3.18,3.18,3.21,3.20,3.26,3.24
1964,33.0,35.8,35.5,35.6,35.4,34.6,33.6,32.4,31.4,31.0,30.6,30.3,29.8,,1968,3.23,3.26,3.23,3.20,3.18,3.20,3.21,3.17,3.17,3.24,3.29,3.28,3.32
