0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
,,,,,,,,,,August,Septembei,October,,,,,Febmaiy,April,,May,June,July,,August,September,October,December
,,,,,,,,,,,,,,,Average,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,WOMEN  - ACCESSIONS  PER  1 0 0   WOMEN,,,,,,,,
SIC  25 -,,FURNITURE AND  FIXTURES  (Con.),,,,,,,,,,,,,,,,,,,,,,,,,
1 9 6 3,,4 .0,,,,4 .4,,,5 .6,,,4 .8,,,1 9 6 3,1.6,,,1.7,,,,2 .0,,,1.8,
1 9 6 4,,4 .3,,,,4 .7,,,6.1,,,4 .8,,,1 9 6 4,1.5,,,1.9,,,,2 .0,,,2 .0,
1 9 6 5,,4 .6,,,,4 .8,,,5 .6,,,6.1,,,1 9 6 5,1.9,,,2 .5,,,,2 .4,,,2 .6,
1 9 6 6,,5 .7,,,,6 .2,,,7 .0,,,7 .2,,,1 9 6 6,2.5,,,3 .3,,,,3 .3,,,4.1,
,,,,,,4 .7,,,6 .9,,,6 .4,,,1 9 6 7  ',3.1,,,2 .8,,,,3 .0,,,3.1,
1 9 6 7,,5 .5,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,7.7,,,1 9 6 8,2.9,,,2 .9,,,,3 .6,,,4.1,
1 9 6 8,,5 .9,,,,6 .0,,,7.1,,,,,,,,,,,,,,,,,,
,,,,,,MEN-,SEPARATIONS  PER  10 0  MEN,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,SIC  251  -,,HOUSEHOLD  FURNITURE,,,,,,,,,,
1 9 5 8,,5 .2,,,,5 .2,,,3 .4,,,4 .0,,,,,,,,,,,,,,,
1 9 5 9,,4 .1,,,,4 .0,,,4 .4,,,5.3,,,,,,,,,,,,,,,
1 9 6 0,,4 .1,,,,4 .6,,,4 .3,,,5.1,,,,,,,ALL  EMPLOYEES  -,,IN  THOUSANDS,,,,,,
,,,,,,,,,,,,,,,19 4 7,2 4 3 .92 3 9 .6,2 4 4 .0,2 4 3 .7,2 3 8 .8,2 3 5 .9,2 3 6 .8,,2 3 1 .6,2 4 1 .3,2 4 5 .3,2 5 1 .6,2 6 0 .62 5 7 .6
196 1,,5 .0,,,,3 .5,,,4 .3,,,4 .7,,,1 9 4 8,2 5 0 .32 6 3 .9,2 6 5 .2,2 6 0 .4,2 5 1 .1,2 4 3 .0,2 4 1 .3,,2 3 8 .7,2 4 3 .8,2 4 9 .0,2 5 1 .9,2 4 4 .62 5 0 .8
1 9 6 2,,4 .1,,,,4 .3,,,5 .2,,,4 .7,,,1 9 4 9,2 2 8 .72 3 3 .1,2 3 0 .0,2 2 6 .7,2 2 3 .2,2 1 5 .4,2 1 3 .4,,2 1 2 .2,2 2 1 .3,2 3 3 .9,2 4 2 .0,2 4 3 .9  2 4 8 .8
19 6 3,,4 .5,,,,4 .7,,,4 .4,,,5 .3,,,1 9 5 0,2 7 1 .42 5 0 .7,2 5 8 .3,2 6 1 .5,2 6 3 .6,2 6 3 .7,2 6 5 .4,,2 6 5 .4,2 7 9 .6,2 8 6 .7,2 8 8 .9,2 8 4 .72 8 8 .8
1 9 6 4,,4 .7,,,,4 .4,,,5 .0,,,5 .0,,,,,,,,,,,,,,,
1 9 6 5,,4 .5,,,,5 .2,,,5 .5,,,5.9,,,19 51,2 5 7 .12 8 1 .2,2 8 3 .8,2 8 4 .1,2 7 4 .2,2 5 6 .6,2 4 3 .2,,2 3 8 .8,2 3 7 .9,2 3 8 .3,2 4 3 .4,2 5 0 .72 5 2 .6
1 9 6 6,,5.1,,,,6 .5,,,6 .6,,,7 .0,,,1 9 5 2,2 5 7 .12 5 2 .8,2 5 2 .1,2 5 1 .6,2 4 8 .9,2 4 6 .4,2 4 6 .5,,2 4 8 .0,2 5 6 .4,2 6 3 .4,2 6 9 .4,2 7 5 .02 7 4 .3
196 7,,6 .3,,,,6 .0,,,5 .9,,,5.8,,,19 5 3,2 6 7 .02 7 5 .2,2 7 8 .1,2 7 9 .8,2 7 5 .9,2 7 0 .0,2 6 5 .1,,2 6 2 .5,2 6 2 .9,2 6 2 .9,2 6 1 .4,2 5 1 .12 5 8 .7
,,,,,,6 .1,,,6 .4,,,7.1,,,1 9 5 4,2 4 3 .72 4 4 .2,2 4 4 .7,2 4 5 .2,2 3 9 .7,2 3 3 .6,2 3 1 .2,,2 3 1 .6,2 4 3 .4,2 5 1 .1,2 5 4 .2,2 5 1 .22 5 4 .5
1 9 6 8,,5 .8,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1 9 5 5,2 5 9 .22 4 7 .2,2 5 0 .8,2 5 2 .5,2 5 1 .7,2 5 0 .5,2 5 3 .5,,2 5 1 .1,2 6 3 .2,2 6 9 .2,2 7 2 .9,2 7 4 .42 7 3 .6
