year,forgings,foundries,motor,steel
1958,-3.5,-2.8,-5.7,-2.9
1959,-1.9,-1.1,-4.9,0.2
1960,-2.6,-2.8,-4.1,-4
1961,-3.2,-2,-4.9,-2
1962,-1.3,-1.2,-3.7,-3.3
1963,-1.1,-1.1,-2.8,-2.1
1964,-0.9,-0.6,-2.1,-0.3
1965,0,-0.4,-2.3,-1.7
1966,0.1,-0.8,-3.2,-0.7
1967,-1.2,-1.6,-3.4,-1.3
1968,-0.5,-1.1,-2.4,-2
1969,-0.5,-0.7,-3.2,-0.5
1970,-2.5,-2.6,-4.6,-1.9
1971,-1.9,-1.7,-2.8,-3.6
1972,-0.2,-0.7,-1.9,-1.3
1973,-0.1,-0.2,-1.1,-0.4
1974,-0.3,-0.8,-4.6,-1.2
