year,forgings,foundries,motor,steel
1958,1.28,1.09,1.21,1.38
1959,1.31,1.11,1.24,1.42
1960,1.3,1.1,1.24,1.36
1961,1.29,1.09,1.23,1.38
1962,1.3,1.1,1.25,1.38
1963,1.3,1.1,1.26,1.37
1964,1.31,1.11,1.27,1.35
1965,1.33,1.11,1.28,1.33
1966,1.33,1.1,1.26,1.32
1967,1.29,1.08,1.25,1.28
1968,1.3,1.11,1.3,1.27
1969,1.3,1.12,1.29,1.28
1970,1.29,1.11,1.26,1.26
1971,1.29,1.13,1.32,1.28
1972,1.32,1.14,1.34,1.35
1973,1.33,1.17,1.34,1.36
1974,1.32,1.15,1.34,1.44
