year,forgings,foundries,steel
1958,2.9,2.8,2.8
1959,3.2,4.2,3.3
1960,2.8,2.9,2
1961,2.8,3.5,3.5
1962,2.5,3.5,2.6
1963,2.4,3.5,3.2
1964,2.8,3.8,2.9
1965,2.5,4.1,2.3
1966,3.3,5,2.9
1967,2.3,4.2,2.5
1968,2.7,4.8,3
1969,3.4,5.8,3.3
1970,2.8,4.5,2.7
1971,2.4,3.6,3.5
1972,2.9,4.4,3.1
1973,3.1,5.3,2.5
1974,3.3,4.6,2
