year,forgings,foundries,steel
1958,1.19,1.02,1.29
1959,1.21,1.03,1.31
1960,1.21,1.02,1.27
1961,1.2,1.02,1.29
1962,1.21,1.03,1.29
1963,1.22,1.03,1.28
1964,1.22,1.03,1.26
1965,1.24,1.04,1.24
1966,1.24,1.03,1.23
1967,1.22,1.02,1.21
1968,1.23,1.04,1.2
1969,1.23,1.05,1.21
1970,1.22,1.05,1.19
1971,1.22,1.07,1.21
1972,1.24,1.07,1.27
1973,1.25,1.1,1.28
1974,1.24,1.08,1.36
