year,forgings,foundries,steel
1958,0.44,0.05,0.65
1959,0.5,0.06,0.74
1960,0.5,0.06,0.65
1961,0.51,0.05,0.71
1962,0.54,0.07,0.73
1963,0.58,0.08,0.73
1964,0.6,0.09,0.7
1965,0.68,0.1,0.67
1966,0.71,0.09,0.68
1967,0.66,0.07,0.62
1968,0.73,0.14,0.63
1969,0.78,0.18,0.71
1970,0.77,0.17,0.67
1971,0.83,0.25,0.78
1972,0.98,0.3,1.09
1973,1.09,0.43,1.22
1974,1.12,0.37,1.68
