year,forgings,foundries,motor,steel
1958,NA,NA,NA,NA
1959,NA,NA,NA,NA
1960,3.21,2.39,-1.66,-3.77
1961,1.47,1.56,0.79,0.72
1962,-4.61,-3.56,-3.42,-1.67
1963,-0.48,-2.27,0.06,-5.11
1964,-8.77,-5.63,-2.7,-5.1
1965,-1.38,5.08,-7.74,-1.54
1966,0.51,9.35,3.57,3.09
1967,14.01,9.49,3.18,5.96
1968,4.79,-3.4,-7.41,0.98
1969,-5.33,-2.33,2.71,2.83
1970,3.19,4.46,5.64,4.62
1971,-5.35,-5.54,-2.83,0.82
1972,-9.31,-6.48,3.45,-5.44
1973,3.24,9.42,8.75,2.46
1974,6.21,9.44,1.22,8.12
