year,forgings,foundries,motor,steel
1958,0.5,0.6,0.5,0.2
1959,0.8,1.2,8,0.5
1960,0.6,0.8,0.6,0.3
1961,0.6,0.7,0.5,0.3
1962,0.7,1,6,0.3
1963,0.7,1.1,0.5,0.4
1964,0.8,1.4,0.7,0.6
1965,1.1,1.8,1,0.9
1966,1.6,2.8,1.4,1.1
1967,1.4,2.4,1.3,0.8
1968,1.4,2.7,1.3,1.1
1969,1.8,3.4,1.6,1.3
1970,1.2,2.4,1.1,1.1
1971,0.9,1.5,8,0.7
1972,1,2,1,0.6
1973,1.5,2.9,1.3,0.9
1974,1.6,2.6,1.1,0.7
