year,forgings,foundries,motor,steel
1958,0.59,0.2,0.44,0.8
1959,0.67,0.23,0.52,0.91
1960,0.67,0.23,0.55,0.82
1961,0.68,0.22,0.54,0.88
1962,0.71,0.24,0.6,0.9
1963,0.75,0.25,0.64,0.9
1964,0.78,0.27,0.68,0.88
1965,0.86,0.28,0.73,0.85
1966,0.89,0.27,0.72,0.86
1967,0.83,0.24,0.72,0.79
1968,0.91,0.32,0.89,0.81
1969,0.97,0.37,0.91,0.9
1970,0.96,0.36,0.86,0.86
1971,1.05,0.47,1.15,1
1972,1.23,0.55,1.31,1.34
1973,1.35,0.69,1.38,1.48
1974,1.4,0.65,1.49,1.96
