0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
,,,,,,,,,,,,,,,Annual,,,,,,,,,,,,
,,,,,,,,,,,,November,,,,,,,,,,,,September,October,November,December
,,,,,,,,,,,,,,,Average,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIC  372 -,,AIRCRAFT AND  PARTS  (Con.),,,,,,,,,,,,,,,,,,NEW  HIRES PER  100  EMPLOYEES,,,,,,,
,,,,,,,,,,,,,,1964,2.6,3.3,2.7,3.0,2.6,2.6,2.6,2.5,2.9,2.8,2.4,1.9,1.6
,,,,,,,,,,,,,,1965,2.3,2.7,2.3,2.3,2.1,2.1,2.1,2.1,2.5,3.1,2.3,1.9,1.8
1961,2.5,2.6,2.6,2.6,2.3,2.0,1.9,2.1,2.2,2.4,2.5,2.9,3.2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1966,2.6,2.5,2.2,2.2,2.6,2.5,2.6,2.8,3.3,3.9,3.0,2.2,1.8
1962,2.9,2.9,2.6,3.0,2.5,2.7,2.6,2.5,2.7,3.0,3.2,3.2,3.3,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1967,2.7,2.8,2.4,2.7,2.6,2.5,2.8,2.7,3.2,3.9,2.7,2.3,1.8
1963,2.6,2.9,2.7,2.4,1.9,2.2,2.5,2.5,2.6,3.0,2.9,2.7,2.7,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1968,2.7,2.7,2.6,2.7,2.5,2.6,2.5,2.5,3.3,3.8,2.9,2.3,2.0
1964,2.5,2.5,2.4,2.2,2.3,2.1,2.3,2.5,2.5,2.6,26,2.7,2.9,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1969,2.8,2.9,2.5,2.6,2.6,2.4,2.8,2.8,3.6,3.6,2.8,2.6,2.0
1965,3.3,2.7,2.2,2.4,1.9,2.7,2.9,3.1,3.6,3.7,4.0,4.9,4.9,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1970,3.5,4.0,3.6,4.5,3.8,3.1,3.4,3.4,3.5,3.1,3.7,2.7,2.7
1966,5.0,5.6,5.0,5.1,4.6,5.2,5.1,50,5.2,5.1,4.9,5.1,4.5,,,,,,,,,,,,,,
1967,4.4,4.4,4.4,4.4,4.2,4.2,3.8,4.4,4.7,4.8,4.3,4.8,5.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1971,3.0,4.0,3.5,3.9,4.4,2.8,2.5,2.4,2.9,2.7,2.8,2.3,1.8
1968,3.8,4.6,4.3,3.8,2.7,3.7,3.8,3.8,3.6,3.5,3.5,3.7,4.0,,,"2,4",,,,,,,,,,,
,,,,,,,,,,,,,,1972,2.0,,2.4,2.3,2.2,2.0,1.9,1.9,2.2,2.1,1.8,1.7,1.5
1969,3.4,3.4,3.4,3.3,2.8,3.0,3.1,3.5,3.3,3.6,3.7,3.8,4.1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1973,2.1,2.2,1.9,2.2,2.0,1.8,2.1,2.2,2.5,2.2,2.2,2.3,1.6
