0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
,,,,,,,,,,,,,,,,Annual,,,,,,,,,,,,
,,January,February,,,,,,August,September,October,,,,,,January,February,March,April,May,June,July,August,September,October,November,December
,,,,,,,,,,,,,,,,Average,,,,,,,,,,,,
,,,,"14,407","14,478","14,744","15,020","15,153","15,868","16,104","16,239","16,155","16,166",,1973,"5,803","5,546","5,627","5,678","5,707","5,735","5,832","5,684","5,902","5,963","6,004","6 ,0 1 2","5,946"
1950,"15,241","14,269","14,287",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1974,"5,819","5,825","5,819","5,822","5,816","5,828","5,922","5,794","5,938","5,972","5,893",5.728,"5,470"
,,,,,,,"16,413","16,288","16,519","16,560","16,483","16,412","16,432",,1975,,"5,233","5,126","5,070","5,074","5,108","5,188",,,,,,
1951,"16,393","16,198","16,371","16,411","16,353","16,273",,,,,,,,,,,,,,,,,,,,,,
1952,"16,632","16,306","16,393","16,416","16,369","16,263","16,046","15,845","16,741","17,156","17,264","17,353","17,439",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,P R O D U C T IO N   W O R K E R S,,-  IN THOUSANDS,,,,,,
1953,"17,549","17,378","17,524","17,660","17,614","17,588","17,717","17,639","17,824","17,794","17,573","17,251","17,022",,,,,,,,,,,,,,,
1954,"16,314","16,686","16,571","16,478","16,263","16,103","16,165","15,927","16,166","16,309","16,339","16,385","16,371",,1909,"6,272",,,,,MONTHLY  DATA NOT AVAILABLE,,,,,,,
1955,"16,882","16,245","16,371","16,523","16,581","16,664","16,908","16,809","17,149","17,243","17,333","17,384","17,369",,1914,"6,624",,,,,,,,,,,,
1956,"17,243","17,183","17,178","17,119","17,131","17,078","17,172","16,652","17,379","17,465","17,571","17,507","17,484",,1919,"8,617","8,440","8,178","8,216","8,234","8,290","8,393","8,613","8,832","8,995","8,958","9,053","9,202"
1957,"17,174","17,284","17,283","17,277","17,168","17,110","17,217","17,094","17,355","17,318","17,201","17,006","16,783",,1920,"8,652","9,237","9,157","9,338","9,211","8,976","8,891","8,681","8,680","8,570","8,246","7,726","7,111"
1958,"15,945","16,374","16,080","15,814","15,561","15,482","15,660","15,612","15,935","16,227","16,023","16,311","16,266",,,,,,,,,,,,,,,
1959,"16,675","16,204","16,279","16,441","16,531","16,686","16,951","16,925","16,699","16,887","16,708","16,804","16,989",,1921,"6,622","6,423","6,604","6,698","6,650","6,628","6,557","6,438","6,552","6,706","6,759","6,761","6,684"
1960,"16,796","16,924","16,968","16,922","16,844","16,812","16,883","16,725","16,882","16,980","16,775","16,576","16,258",,1922,"7,327","6,658","6,831","6,930","6,921","7,104","7,236","7,315","7,518","7,686","7,802","7,915","8,007"
,,,,,,,,,,,,,,,1923,"8,388","8,095","8,276","8,453","8,490","8,504","8,543","8,451","8,468",8.505,"8,401","8,302","8,170"
1961,"16,326","15,978","15,883","15,915","15,959","16,135","16,377","16,328","16,593","16,707","16,675","16,729","16,634",,1924,"7,789","8,086","8,218","8,237","8,092","7,824","7,576","7,324","7,430","7,613","7,674","7,633","7,760"
1962,"16,853","16,450","16,535","16,614","16,730","16,779","16,962","16,874","17,035","17,243","17,150","17,013","16,850",,1925,"8,061","7,803","7,945","8,019","8 ,0 1 0","7,967","7,953","7,944","8,082",8.236,"8,293","8,261","8,225"
1963,"16,995","16,677","16,670","16,735","16,821","16,925","17,069","17,004","17,152","17,352","17,309","17,165","17,066",,1926,"8,214","8,159","8,242","8,287","8,226","8,142","8,145","8,057","8,228","8,400","8,370","8,213","8,103"
1964,"17,274","16,857","16,904","16,968","17,024","17,101","17,314","17,266","17,473","17,767","17,414","17,619","17,580",,1927,"8,037","7,965","8,092","8,153","8 ,1 0 1","8,049","8,055","7,966","8,077","8,175","8,094","7,914","7,800"
1965,"18,062","17,434","17,518","17,618","17,710","17,806","18,095","18,096","18,302","18,528","18,521","18,564","18,549",,1928,"8,051","7,702","7,849","7,931","7,899","7,906","7,958","7,952","8,170","8,341","8,365","8,288","8,248"
1966,"19,214","18,418","18,617","18,760","18,894","19,030","19,390","19,259","19,538","19,686","19,695","19,683","19,601",,1929,"8,567","8,216","8,411","8,517","8,619","8,609","8,630","8,674","8,826","8,912","8,805","8,447","8,133"
1967,"19,447","19,409","19,382","19,355","19,276","19,236","19,488","19,264","19,549","19,572","19,511","19,685","19,635",,1930,7.464,"7,930","7,944","7,909","7,865","7,727","7,566","7,304","7,243","7,323","7,169","6,894","6,698"
1968,"19,781","19,423","19,458","19,490","19,542","19,607","19,936","19,768","19,927","20,069","20,043","20,063","20,041",,,,,,,,,,,,,,,
1969,"20,167","19,836","19,928","20,017","19,996","20,027","20,385","20,164","20,494","20,480","20,391","20,186","2 0 ,1 0 1",,1931,"6,301","6,467","6,522","6,559","6,557","6,507","6,362","6,271","6,290","6,318","6,091","5,869","5,806"
See footnotes  at  end of tables.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3 8,,,,,,,,,,,,,,
