0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,,,,,,,,,,,,,MANUFACTURING,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Annual,,,,,,,,,,,,,,,,
,,,,,,,,,,,October,November,,,,January,Februaiy,March,April,,May,,June,,July,,August,September,October,November,December
,,,,,,,,,,,,,,,Average,,,,,,,,,,,,,,,,
1955,4.5,3.8,3.7,4.2,4.2,4.5,5.3,4.5,5.8,5.5,5.0,4.0,2.9,1945,9.6,7.0,6 .8,7.6,,7.6,,8 .1,,9.4,,9.0,19.1,13.8,1 0 .8,8.7,7.0
1956,4.2,3.8,3.6,3.6,4.0,4.1,5.1,4.3,4.9,5.2,5.1,3.6,2.7,1946,7.2,7.7,7.2,7.4,,7.3,,7.3,,7.0,,6.9,7.8,8 .6,7.9,6 .0,5.4
1957,3.6,3.7,3.3,3.3,3.4,3.6,4.8,4.2,4.1,4.1,3.5,2.6,2.0,1947,5.7,5.6,5.1,5.4,,6 .0,,6 .2,,5.8,,5.5,6.2,7.3,6.3,4.9,4.5
1958,3.6,2.9,2 .6,2 .8,3.1,3.6,4.7,4.2,4.9,5.0,4.0,3.2,2.7,1948,5.4,4.9,5.3,5.0,,5.4,,5.0,,5.6,,5.3,6 .0,6.7,5.7,5.0,5.2
1959,4.2,3.8,3.7,4.1,4.1,4.2,5.4,4.4,5.2,5.1,3.9,3.4,3.6,1949,5.0,5.2,4.7,5.3,,5.5,,6 .0,,5.3,,4.5,4.7,5.2,5.2,4.9,3.9
1960,3.8,4.0,3.5,3.3,3.4,3.9,4.7,3.9,4.9,4.8,3.5,2.9,2.3,1950,4.1,3.5,3.4,3.2,,3.2,,3.6,,3.7,,3.5,4.9,6.1,5.4,4.8,4.4
1961,4.1,3.7,3.2,4.0,4.0,4.3,5.0,4.4,5.3,4.7,4.3,3.4,2.6,1951,5.3,4.7,4.3,4.6,,5.3,,5.6,,5.3,,5.3,6.2,6.4,5.9,5.2,4.2
1962,4.1,4.1,3.6,3.8,4.0,4.3,5.0,4.6,5.1,4.9,3.9,3.0,2.4,1952,4.9,4.5,4.4,4.1,,4.7,,4.5,,4.8,,6 .0,5.4,6.1,5.3,4.3,4.1
1963,3.9,3.6,3.3,3.5,3.9,3.9,4.8,4.3,4.8,4.8,"3,9",2.9,2.5,1953,5.1,4.3,4.1,4.6,,4.9,,5.1,,5.2,,5.1,5.6,6.5,5.7,5.3,4.8
1964,4.0,3.6,3.4,3.7,3.8,3.9,5.1,4.4,5.1,4.8,4.0,3.2,2.6,1954,4.1,4.9,4.0,4.1,,4.4,,3.8,,3.8,,3.7,4.1,4.9,4.2,3.7,3.6
1965,4.3,3.8,3.5,4.0,3.8,4.1,5.6,4.5,5.4,5.5,4.5,3.9,3.1,1955,3.9,3.3,2 .8,3.3,,3.6,,3.7,,4.0,,4.1,4.7,5.5,4.4,3.8,3.6
1966,5.0,4.6,4.2,4.9,4.6,5.1,6.7,5.1,6.4,6.1,5.1,3.9,2.9,1956,4.2,4.1,4.1,3.9,,3.9,,4.3,,4.2,,3.8,4.6,5.5,4.4,4.0,3.4
1967,4.4,4.3,3.6,3.9,3.9,4.6,5.9,4.7,5.5,5.3,4.7,3.7,2 .8,1957,4.2,3.8,3.4,3.7,,3.8,,3.9,,3.7,,3.7,4.7,5.5,5.0,4.9,4.6
1968,4.6,4.2,3.8,4.0,4.3,4.7,5.9,5.0,5.8,5.7,5.1,3.9,3.1,1958,4.1,5.4,4.1,4.5,,4.4,,3.9,,3.5,,3.7,4.1,4.5,4.1,3.6,3.5
1969,4.7,4.6,3.9,4.4,4.5,4.8,6 .6,5.1,5.6,5.9,5.0,3.6,2.9,1959,4.1,3.7,3.1,3.3,,3.6,,3.5,,3.6,,4.0,4.6,5.3,5.5,4.7,3.9
1970,4.0,4.0,3.6,3.7,3.7,4.2,5.4,4.4,5.1,4.7,3.8,3.0,2.4,1960,4.3,3.6,3.5,4.0,,4.2,,3.9,,4.0,,4.4,4.8,5.3,4.7,4.5,4.8
1971,3.9,3.5,3.1,3.5,3.6,4.0,4.9,4.0,5.3,4.8,3.9,3.3,2.5,1961,4.0,4.7,3.9,3.8,,3.4,,3.5,,3.6,,4.1,4.2,5.1,4.2,4.0,4.0
1972,4.4,4.1,3.7,4.0,4.0,4.9,5.3,4.6,6 .0,5.3,4.8,3.6,2.7,1962,4.1,3.9,3.4,3.6,,3.6,,3.8,,3.8,,4.4,5.1,5.0,4.4,4.0,3.8
1973,4.8,4.6,4.0,4.4,4.5,5.3,5.9,5.1,6 .2,5.7,5.2,3.8,2 .6,1963,3.9,4.0,3.2,3.5,,3.6,,3.6,,3.4,,4.1,4.8,4.9,4.1,3.9,3.7
1974,4.2,4.2,3.6,4.0,4.4,5.1,5.4,4.8,5.4,4.9,3.8,2.4,1.8,1964,3.9,4.0,3.3,3.5,,3.5,,3.6,,3.5,,4.4,4.3,5.1,4.2,3.6,3.7
1975,,3.0,2.7,3.2,3.7,3.9,4.5,,,,,,,1965,4.1,3.7,3.1,3.4,,3.7,,3.6,,3.6,,4.3,5.1,5.6,4.5,3.9,4.1
,,,,,,,,,,,,,,1966,4.6,4.0,3.6,4.1,,4.3,,4.3,,4.4,,5.3,5.8,6 .6,4.8,4.3,4.2
,,,,,,NEW  HIRES  PER  100  EMPLOYEES,,,,,,,,1967,4.6,4.5,4.0,4.6,,4.3,,4.2,,4.3,,4.8,5.3,6 .2,4.7,4.0,3.9
1951,4.1,4.5,4.1,4.3,4.4,4.4,4.9,4.2,4.4,,4.1,3.4,,1968,4.6,4.4,3.9,4.1,,4.1,,4.3,,4.1,,5.0,6 .0,6.3,5.0,4.1,3.8
,,,,,,,,,,4.0,,,2.3,,,,,,,,,,,,,,,,,,
,,,3.4,3.3,3.4,,,4.4,,,,,,1969,4.9,4.5,4.0,4.4,,4.5,,4.6,,4.6,,5.3,6.2,6 .6,5.4,4.3,4.2
1952,4.1,3.6,,,,3.5,4.7,,5.0,5.5,5.0,4.0,3.1,,,,,,,,,,,,,,,,,,
,,,,,4.2,,,,,,,,,1970,4.8,4.8,4.3,4.4,,4.8,,4.6,,4.4,,5.3,5.6,6 .0,5.3,4.3,4.1
1953,3.6,3.9,3.8,4.1,,3.9,5.1,4.4,4.3,3.8,2.9,2 .0,1.3,,,,,,,,,,,,,,,,,,
1954,1.9,1.6,1.5,1.7,1.5,1.7,2.3,2.1,2.3,2.4,2 .2,2.1,1.5,,,,,,,,,,,,,,,,,,
1955,3.0,2 .0,2.1,2 .6,2 .6,3.0,3.8,3.3,4.1,3.9,3.5,2.9,2 .0,1971,4.2,4.2,3.5,3.7,,3.9,,3.7,,3.8,,4.8,5.5,5.3,4.3,3.7,3.8
,,,,,2.5,,,,,,,,,1972,4.2,4.0,3.5,3.8,,3.8,,3.9,,4.2,,4.8,5.4,5.3,4.3,3.7,3.7
1956,2 .8,2.5,2.4,2 .2,,2 .8,3.6,2.9,3.4,3.4,3.2,2.3,1.8,,,,,,,,,,,,,,,,,,
1957,2 .2,2.3,2 .0,2 .0,2 .1,2.3,3.2,2 .8,2.7,2.5,2.1,1.3,.8,1973,4.6,4.3,3.7,4.2,,4.1,,4.4,,4.5,,5.1,6.5,5.7,4.9,4.2,3.9
1958,1.7,,,,1.3,1.5,,,2.4,,,1.7,,1974,4.8,4.9,4.0,4.4,,4.2,,4.4,,4.2,,4.9,6.1,5.4,5.0,5.0,5.2
,,1.2,1.1,1.1,,,2 .2,2.1,,2 .6,2 .2,,1.3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1975,,6 .2,4.5,4.2,,4.0,,3.9,,3.6,,,,,,,
1959,2 .6,2 .0,2.1,2.4,2.5,2.7,3.7,3.0,3.5,3.5,2 .6,1.9,1.5,,,,,,,,,,,,,,,,,,
1960,2 .2,2 .2,2 .2,2 .0,2 .0,2.3,3.0,2.4,2.9,2 .8,2.1,1.5,1.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,QUITS  PER  100  EMPLOYEES,,,,,,,,,,
1961,2 .2,1.5,1.4,1.6,1 .8,2 .1,2.9,2.5,3.1,3.0,2.7,2 .0,1.4,1930,1.9,2.2,1.9,2 .2,,2 .6,,2.3,,2.3,,1.7,1.7,1.9,1.6,1.1,.9
1962,2.5,2 .2,2.1,2 .2,2.4,2 .8,3.5,2.9,3.2,3.1,2.5,1.8,1.2,,,,,,,,,,,,,,,,,,
1963,2.4,1.9,1.8,2 .0,2.3,2.5,3.3,2.7,3.2,3.2,2.6,1.8,1.4,1931,1.1,.8,.8,1.1,,1.4,,1.3,,1.2,,1.4,1.3,1.5,1.2,.9,.8
1964,2 .6,2 .0,2 .0,2 .2,2.4,2.5,3.6,2.9,3.4,3.5,2 .8,2 .2,1.6,1932,.9,.8,8,1.1,,1.1,,.8,,.9,,.7,.8,1.0,.9,.6,.7
1965,3.1,2.4,2.4,2 .8,2 .6,3.0,4.3,3.2,3.9,4.0,3.5,2.9,2.2,1933,1.1,.8,.6,.6,,.7,,.9,,1.2,,1.6,1.4,2.1,1.1,1.0,.8
1966,3.8,3.2,3.1,3.7,3.6,4.1,5.6,3.9,4.8,4.7,4.2,3.1,2.1,1934,1.1,1.1,1.1,1.1,,1.4,,1.2,,1.1,,.9,1.0,2 .0,.9,.8,.7
1967,3.3,3.0,2.7,2 .8,2 .8,3.3,4.6,3.3,4.0,4.1,3.7,2.8,2.0,1935,1.1,.9,.8,.9,,1.1,,1.4,,1.0,,1.1,1.1,1.4,1.1,1.0,.8
1968,3.5,3.0,2.7,2.9,3.2,3.6,4.7,3.7,4.3,4.6,4.0,2.9,2.2,1936,1.3,8,8,1.1,,1.5,,1.3,,1.3,,1.5,1.4,2 .0,1.6,1.4,1.3
,See footnotes at  end  of tables.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,4 1,,,,,,,,,,,,,,,,,,
