0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
,,,,,,,,,,,,,MANUFACTURING,,,,,,,,,,,,,"SIC  375 ,9",
,Annual,,,,,,,,,,,,,,Annual,,,,,,,,,,,,
Year,,January,February,March,April,,June,July,August,,October,November,December,Year,,January,February,March,April,,June,July,August,September,October,,December
,Average,,,,,,,,,,,,,,Average,,,,,,,,,,,,
1972,39.7,38.3,39.2,39.9,40.0,40.2,40.3,39.6,40.9,40.6,40.2,39.4,38.0,,,,,,,SEPARATIONS  PER  100  EMPLOYEES,,,,,,,
1973,38.7,36.7,38.4,39.3,39.2,40.1,39.8,39.1,39.0,39.2,39.0,37.6,36.7,1958,5.9,4.4,6.7,6.5,5.1,4.2,3.2,4.7,4.7,5.9,5.3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,11.6
1974,38.3,36.3,37.3,38.7,38.4,40.1,39.9,38.2,38.4,37.9,37.4,37.4,38.0,1959,7.5,5.0,5.0,5.1,5.0,4.9,5.4,5.3,6.5,6.4,6.7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,26.4
1975,,35.6,36.1,37.2,38.3,39.1,39.3,,,,,,,1960,9.9,8.7,8.1,8.5,5.8,5.9,5.5,7.1,8.9,8.6,11.2,17.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,23.8
,,,,,PRODUCTION-WORKER  AVERAGE  WEEKLY OVERTIME  HOURS,,,,,,,,,1961,6.9,7.5,4.0,5.9,4.6,5.0,7.9,6.0,6.3,6.5,5.2,7.5,16.8
1958,2.1,1.2,.9,.8,1.3,1.4,2.2,1.7,2.4,3.6,3.7,2.3,2.8,1962,7.4,4.9,4.0,5.0,4.8,6.2,6.4,8.0,7.3,6.7,9.2,9.2,17.1
1959,2.9,2.3,1.7,2.8,3.2,3.3,3.4,3.2,3.2,2.8,3.0,2.6,2.5,1963,7.1,5.3,4.8,5.9,6.1,5.7,5.9,5.9,7.6,8.4,7.6,6.8,15.2
1960,1.7,1.8,1.7,1.4,1.4,2.1,2.3,1.9,1.8,1.8,1.8,1.3,1.1,1964,7.5,6.0,5.9,6.5,6.9,5.8,6.3,6.8,8.7,9.9,7.7,7.0,12.7
,,,,,,,,,,,,,,1965,8.0,6.9,5.8,6.6,7.2,7.3,6.3,7.9,9.0,10.3,8.4,8.5,12.0
1961,1.8,.9,.7,1.3,1.7,1.9,2.2,2.0,2.5,2.9,2.4,1.7,1.2,1966,10.4,9.3,8.3,10.2,7.9,9.0,7.7,8.7,10.8,12.7,9.5,13.0,17.4
1962,2.5,.7,1.6,1.5,2.8,3.6,3.6,2.6,3.4,3.1,2.7,1.8,2.1,1967,8.7,6.6,6.7,8.2,7.2,8.0,9.5,8.1,10.6,11.2,7.3,8.2,12.9
1963,3.1,1.7,2.6,2.8,2.7,3.5,3.7,3.9,3.3,4.1,3.2,2.5,3.0,1968,9.0,7.7,6.2,6.7,8.2,9.5,9.1,9.5,10.9,10.5,8.2,7.4,14.3
1964,3.2,2.3,2.3,2.9,3.2,3.7,3.8,2.8,3.6,3.6,4.0,2.5,2.8,1969,10.0,8.7,8.5,9.7,9.1,9.7,9.0,10.4,11.8,12.5,10.8,7.3,11.9
1965,2.9,2.1,1.9,1.5,2.3,3.2,3.7,3.2,3.5,3.8,3.7,2.9,2.6,1970,8.5,7.7,7.7,7.9,7.9,8.3,7.4,9.3,9.3,9.6,7.6,7.4,12.0
1966,2.7,2.0,2.0,2.8,2.9,3.2,3.2,2.6,3.1,3.4,2.8,2.1,1.9,,,,,,,,,,,,,,
1967,3.0,1.6,1.8,2.3,2.7,3.2,3.7,3.2,3.9,4.0,3.9,3.0,2.4,1971,6.5,7.2,4.5,4.6,5.8,6.3,5.6,7.2,9.1,8.1,6.8,5.7,7.6
1968,3.0,1.0,1.6,2.3,2.3,3.7,3.5,3.5,3.9,3.9,3.5,3.3,2.9,1972,7.8,6.2,5.3,6.9,7.0,7.8,7.5,8.3,10.9,9.0,8.8,5.9,9.8
1969,2.8,2.6,2.3,2.8,3.0,3.1,3.4,2.9,2.9,3.0,2.8,2.7,2.3,1973,9.6,8.0,6.9,7.7,7.7,9.6,9.9,8.4,11.8,10.4,10.5,9.2,14.9
1970,2.2,1.8,1.6,1.9,2.0,2.3,2.4,2.6,2.6,2.6,2.8,2.1,1.9,1974,10.6,10.8,7.2,6.8,6.3,7.4,9.0,7.4,12.1,11.8,11.8,16.2,20.4
,,,,,,,,,,,,,,1975,,8.4,5.9,8.7,9.1,6.7,6.2,,,,,,
1971,2.6,1.6,1.7,1.7,2.2,2.9,3.1,3.0,3.0,3.2,3.2,2.6,2.2,,,,,,,,,,,,,,
1972,3.1,1.9,2.6,2.8,3.1,3.3,3.3,3.6,3.9,3.9,3.3,3.0,2.3,,,,,,,QUITS  PER  100  EMPLOYEES,,,,,,,
1973,2.6,2.2,2.5,2.8,3.1,3.2,3.1,2.9,2.7,2.9,2.4,1.9,1.6,1958,1.9,1.3,1.2,1.3,1.6,1.8,1.5,,,,,,
,,,,,,,,,,,,,,,,,,,,,,16,2.9,3.9,2.8,2 0,1.4
1974,2.2,1.7,1.6,2.2,2.2,3.5,2.8,2.4,2.3,2.1,1.7,1.4,1.3,1959,2.8,1.8,2.0,2.8,3.1,3.2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,3.1,3.2,4.2,4.4,2.7,1.9,14
1975,,1.1,1.0,1.1,1.6,1.8,2.0,,,,,,,1960,2.1,1.9,1.7,1.9,2.8,2.1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1.9,2.1,2.8,3.8,1.8,1.0,1.0
,,,,,,ACCESSIONS  PER  100  EMPLOYEES,,,,,,,,1961,2.2,1.3,1.2,2.2,1.8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2.3,2.4,2.4,2.9,3.8,2.6,1.7,1.2
1958,63,5.9,9.5,4.8,5.2,5.9,5.9,6.1,9.5,9.3,6.8,4.4,2.6,1962,2.7,1.8,1.9,2.6,3.1,3.2,3.4,2.7,3.8,4.1,2.3,1.8,1.4
1959,7.2,17.3,7.5,7.1,6.6,8.4,6.4,6.7,7.5,7.6,4.7,3.0,3.2,1963,2.9,2.1,2.0,2.8,2.7,3.1,2.9,2.9,4.5,4.8,3.0,2.4,1.7
1960,7.2,22.3,8.1,8.6,7.6,6.6,5.0,5.5,7.1,6.9,4.2,3.2,1.7,1964,3.6,2.7,2.4,3.4,4.2,4.0,3.3,3.6,4.6,6.7,3.6,2.8,2.0
,,,,,,,,,,,,,,1965,4.2,3.0,2.6,4.1,4.4,4.8,3.5,4.3,5.4,7.3,4.2,3.7,2.7
1961,7.8,23.0,9.1,7.7,7.3,6.5,7.0,8.0,7.1,6.7,5.4,2.8,2.8,1966,5.4,4.1,4.3,6.5,5.8,6.2,4.8,5.3,7.4,8.9,4.9,3.8,3.3
1962,8.2,20.9,10.0,10.5,10.2,9.2,7.2,5.2,8.0,6.3,3.8,3.9,3.2,1967,4.9,3.4,4.1,4.6,4.9,5.0,5.8,4.6,7.4,7.7,4.7,4.0,2.9
1963,8.0,20.9,8.0,79,88,8.5,7.2,6.0,6.1,7.6,6.3,4.4,4.6,1968,5.4,3.9,3.6,4.7,5.6,6.5,6.1,5.5,7.8,8.0,5.6,4.4,3.1
1964,8.3,16.1,8.2,9.8,8.8,8.5,8.1,8.1,8.3,9.0,6.4,4.7,3.2,1969,5.6,5.0,5.0,6.6,6.6,6.1,5.4,5.7,6.7,8.0,5.5,3.6,2.9
1965,8.2,11.8,8.4,9.6,8.9,8.9,8.3,8.5,8.3,9.5,6.8,5.9,4.0,1970,4.2,4.0,3.9,4.2,3.9,3.8,4.4,4.7,5.8,6.3,4.2,2.7,2.2
1966,8.4,9.7,7.9,11.3,10.4,9.1,10.1,7.2,10.4,9.7,6.6,4.6,4.1,,,,,,,,,,,,,,
1967,9.6,16.0,9.4,9.4,9.4,13.2,12.2,8.0,9.5,9.6,7.6,7.0,4.3,1971,3.6,2.6,2.1,2.8,3.6,3.6,3.6,3.7,6.2,5.7,4.1,2.8,2.4
1968,9.4,9.3,9.2,9.5,11.3,11.9,11.9,9.0,9.1,10.8,9.3,6.4,4.5,1972,4.9,3.3,3.4,4.2,5.1,5.2,4.7,5.9,8.3,6.9,5.6,3.5,2.8
,See footnotes at end of tables.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3 3 3,,,,,,,,,,,,,,
